actress 3	['actress', 'casters', 'recasts']
enamors 3	['enamors', 'moaners', 'oarsmen']

enigmas 3	['enigmas', 'gamines', 'seaming']

enlarge 3	['enlarge', 'general', 'gleaner']

enlists 4	['enlists', 'listens', 'silents', 'tinsels']

entails 3	['entails', 'salient', 'saltine']

entraps 3	['entraps', 'parents', 'pastern']

erasing 4	['erasing', 'gainers', 'regains', 'searing']

eroding 3	['eroding', 'ignored', 'redoing']

esprits 6	['esprits', 'persist', 'priests', 'spriest', 'sprites', 'stripes']

estrous 3	['estrous', 'ousters', 'sourest']

filters 3	['filters', 'lifters', 'trifles']

flowing 3	['flowing', 'fowling', 'wolfing']

gaiters 3	['gaiters', 'stagier', 'triages']

garrets 3	['garrets', 'garters', 'graters']

gilders 3	['gilders', 'girdles', 'gliders']

gingers 3	['gingers', 'niggers', 'snigger']

goiters 3	['goiters', 'goitres', 'goriest']

granite 4	['granite', 'ingrate', 'tangier', 'tearing']

gunshot 3	['gunshot', 'noughts', 'shotgun']

gurgles 3	['gurgles', 'luggers', 'slugger']

halters 3	['halters', 'lathers', 'slather']

hatters 3	['hatters', 'shatter', 'threats']

hearers 3	['hearers', 'rehears', 'shearer']

hooters 3	['hooters', 'shooter', 'soother']

hornets 3	['hornets', 'shorten', 'thrones']

hustles 3	['hustles', 'lushest', 'sleuths']

ignores 3	['ignores', 'regions', 'signore']

imposer 3	['imposer', 'promise', 'semipro']

impress 3	['impress', 'premiss', 'simpers']

ingress 4	['ingress', 'resigns', 'signers', 'singers']

inkling 3	['inkling', 'kilning', 'linking']

insoles 3	['insoles', 'lesions', 'lioness']

interim 3	['interim', 'mintier', 'termini']

laments 3	['laments', 'mantels', 'mantles']

lapsing 3	['lapsing', 'palings', 'sapling']

lasting 4	['lasting', 'salting', 'slating', 'staling']

latests 3	['latests', 'saltest', 'stalest']

latrine 4	['latrine', 'ratline', 'reliant', 'retinal']

latters 4	['latters', 'rattles', 'starlet', 'startle']

leapers 3	['leapers', 'relapse', 'repeals']

leasers 4	['leasers', 'resales', 'reseals', 'sealers']

leasing 3	['leasing', 'linages', 'sealing']

leavers 3	['leavers', 'reveals', 'several']

letters 3	['letters', 'settler', 'trestle']

leviers 4	['leviers', 'relives', 'reviles', 'servile']

listing 3	['listing', 'silting', 'tilings']

loaders 3	['loaders', 'ordeals', 'reloads']

lotuses 3	['lotuses', 'solutes', 'tousles']

louvers 3	['louvers', 'louvres', 'velours']

lumbers 3	['lumbers', 'rumbles', 'slumber']

lusters 6	['lusters', 'lustres', 'results', 'rustles', 'sutlers', 'ulsters']

magneto 3	['magneto', 'megaton', 'montage']

maidens 3	['maidens', 'medians', 'sideman']

manured 3	['manured', 'maunder', 'unarmed']

marines 3	['marines', 'remains', 'seminar']

marshes 3	['marshes', 'mashers', 'smasher']

misting 3	['misting', 'smiting', 'timings']

molders 3	['molders', 'remolds', 'smolder']

mothers 3	['mothers', 'smother', 'thermos']

naivest 3	['naivest', 'natives', 'vainest']

neuters 3	['neuters', 'tenures', 'tureens']

observe 3	['observe', 'obverse', 'verbose']

painter 3	['painter', 'pertain', 'repaint']

parings 4	['parings', 'parsing', 'rasping', 'sparing']

parleys 5	['parleys', 'parsley', 'players', 'replays', 'sparely']

parries 4	['parries', 'rapiers', 'raspier', 'repairs']

parsecs 3	['parsecs', 'scrapes', 'spacers']

parties 6	['parties', 'pastier', 'piaster', 'piastre', 'pirates', 'traipse']

pierces 3	['pierces', 'precise', 'recipes']

porters 3	['porters', 'presort', 'reports']

posture 3	['posture', 'pouters', 'troupes']

potters 3	['potters', 'protest', 'spotter']

prayers 3	['prayers', 'respray', 'sprayer']

present 3	['present', 'repents', 'serpent']

rattans 3	['rattans', 'tantras', 'tartans']

ratters 3	['ratters', 'restart', 'starter']

realist 3	['realist', 'retails', 'saltier']

redcaps 3	['redcaps', 'scarped', 'scraped']

reduces 4	['reduces', 'rescued', 'secured', 'seducer']

reserve 4	['reserve', 'reveres', 'reverse', 'severer']

resorts 3	['resorts', 'rosters', 'sorters']

respect 5	['respect', 'scepter', 'sceptre', 'specter', 'spectre']

retests 5	['retests', 'setters', 'streets', 'tersest', 'testers']

retinue 3	['retinue', 'reunite', 'uterine']

retired 3	['retired', 'retried', 'tireder']

retires 3	['retires', 'retries', 'terries']

retrain 3	['retrain', 'terrain', 'trainer']

rickets 3	['rickets', 'sticker', 'tickers']

rosiest 3	['rosiest', 'sorties', 'stories']

rowdier 3	['rowdier', 'wordier', 'worried']

skating 4	['skating', 'staking', 'takings', 'tasking']

stiller 3	['stiller', 'tillers', 'trellis']

swelter 3	['swelter', 'welters', 'wrestle']

theater 3	['theater', 'theatre', 'thereat']

weather 3	['weather', 'whereat', 'wreathe']

